tenant,Previous Month
apagroup,13825.06
auswide,17526.41
ccu,406.99
chw,1502.63
cusa,1359.24
dairyfarm,74103.50
dulux,16376.99
endeavour,11304.19
enstar,10071.01
goodmanfielder,286.94
idemitsu,2860.48
intellihub,3484.43
ipswichcc,9173.81
ir,664.8
nspcc,9860.96
nzwaste,3535.20
qudos,22693.59
rbnz,6300.29
rfg,1227.81
silk,7276.61
stowe,4411.14
swick,332.28
tcba,39745.87
telstrasuper,17473.28
toowoombarc,20062.01
ttgroup,2424.70
ttline,3267.66
vfmc,6354.23
villamaria,569.21
vodafonenz,283181.47
wise,299.68
