tenant,usage_total(GB)
apagroup,9252.61
auswide,17345.96
ccu,372.48
chw,1039.69
cusa,909.19
dairyfarm,59333.62
dulux,10993.77
endeavour,7757.82
enstar,8364.85
goodmanfielder,185
idemitsu,1853.85
intellihub,3481.51
ipswichcc,4579.6
ir,391.52
nspcc,6477.46
nzwaste,2423.95
qudos,22768.92
rbnz,4179.2
rfg,803.74
silk,4332.79
stowe,2902.37
swick,205.56
tcba,38297.69
telstrasuper,17264.73
toowoombarc,12866.41
ttgroup,1274.41
ttline,2082.6
vfmc,6205.3
villamaria,365.18
vodafonenz,280128.32
wise,3022.43
