tenant,Hot,Monthly,Blob,Total February,Allowance,Excess,Total January,Growth,,,Decrease
apagroup,2561.24,3514.26,9252.61," 15,328.11 "," 3,000.00 "," 12,328.11 "," 13,825.06 "," 1,503.05 ",,,
auswide,285.89,320.12,17345.96," 17,951.97 ", 550.00 ," 17,401.97 "," 17,526.41 ", 425.56 ,,,
ccu,111.66,105.65,372.48, 589.79 , 550.00 , 39.79 , 406.99 , 182.80 ,,,
chw,381.45,360,1039.69," 1,781.14 ", 550.00 ," 1,231.14 "," 1,502.63 ", 278.51 ,,,
cusa,205.48,299.18,909.19," 1,413.85 ", 550.00 , 863.85 ," 1,359.24 ", 54.61 ,,,
dairyfarm,5861.34,11545.59,59333.62," 76,740.55 "," 18,000.00 "," 58,740.55 "," 74,103.50 "," 2,637.05 ",,,
dulux,2038.1,3866.6,10993.77," 16,898.47 "," 4,000.00 "," 12,898.47 "," 16,376.99 ", 521.48 ,,,
endeavour,1567.98,2708.87,7757.82," 12,034.67 "," 4,000.00 "," 8,034.67 "," 11,304.19 ", 730.48 ,,,
enstar,778.6,1749.73,8364.85," 10,893.18 "," 7,000.00 "," 3,893.18 "," 10,071.01 ", 822.17 ,,,
goodmanfielder,49.8,54.24,185, 289.04 , 550.00 ,-260.96 , 286.94 , 2.10 ,,,
idemitsu,406.53,614.73,1853.85," 2,875.11 ", 550.00 ," 2,325.11 "," 2,860.48 ", 14.63 ,,,
intellihub,125.87,104.92,3481.51," 3,712.30 "," 1,500.00 "," 2,212.30 "," 3,484.43 ", 227.87 ,,,
ipswichcc,610,1464.6,4579.6," 6,654.20 "," 3,000.00 "," 3,654.20 "," 9,173.81 ","-2,519.61 ",,,
ir,169.86,114.41,391.52, 675.79 ," 1,500.00 ",-824.21 , 664.80 , 10.99 ,,,
nspcc,1629.06,2015.09,6477.46," 10,121.61 ", 550.00 ," 9,571.61 "," 9,860.96 ", 260.65 ,,,
nzwaste,325.05,667.21,2423.95," 3,416.21 "," 1,500.00 "," 1,916.21 "," 3,535.20 ",-118.99 ,,,
qudos,355.33,1843.57,22768.92," 24,967.82 ", 550.00 ," 24,417.82 "," 22,693.59 "," 2,274.23 ",,,
rbnz,941,1429.27,4179.2," 6,549.47 "," 3,000.00 "," 3,549.47 "," 6,300.29 ", 249.18 ,,,
rfg,320.51,287.43,803.74," 1,411.68 "," 1,500.00 ",-88.32 ," 1,227.81 ", 183.87 ,,,
silk,359.47,549.91,4332.79," 5,242.17 ", 550.00 ," 4,692.17 "," 7,276.61 ","-2,034.44 ",,,
stowe,709.13,1010.81,2902.37," 4,622.31 ", 550.00 ," 4,072.31 "," 4,411.14 ", 211.17 ,,,
swick,98.41,71.07,205.56, 375.04 , 550.00 ,-174.96 , 332.28 , 42.76 ,,,
tcba,1590.1,2878.4,38297.69," 42,766.19 ", -   ," 42,766.19 "," 39,745.87 "," 3,020.32 ",,,
telstrasuper,515.36,996.91,17264.73," 18,777.00 "," 1,500.00 "," 17,277.00 "," 17,473.28 "," 1,303.72 ",,,
toowoombarc,2381.24,3954.7,12866.41," 19,202.35 "," 1,500.00 "," 17,702.35 "," 20,062.01 ",-859.66 ,,,
ttgroup,546.95,400.1,1274.41," 2,221.46 ", 550.00 ," 1,671.46 "," 2,424.70 ",-203.24 ,,,
ttline,377.97,558.91,2082.6," 3,019.48 ", 550.00 ," 2,469.48 "," 3,267.66 ",-248.18 ,,,
vfmc,208.07,355.24,6205.3," 6,768.61 "," 1,500.00 "," 5,268.61 "," 6,354.23 ", 414.38 ,,,
villamaria,163.61,124.76,365.18, 653.55 , 550.00 , 103.55 , 569.21 , 84.34 ,,,
vodafonenz,5767.07,8745.15,280128.32," 294,640.54 "," 3,000.00 "," 291,640.54 "," 283,181.47 "," 11,459.07 ",,,
wise,287.56,2917.26,3022.43," 6,227.25 ", 550.00 ," 5,677.25 ", 299.68 ," 5,927.57 ",,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
